CountryCode,state,city,lat,lon,area_code
us,Illinois,Bloomington,39.1637,-86.5257,"309, 861"
us,Texas,San Angelo,31.4424,-100.4504,"325"
us,South Carolina,Columbia,39.2004,-76.859,"803"
us,Mississippi,Hattiesburg,31.3074,-89.317,"601,769"
us,Texas,Euless,32.8508,-97.08,"682,817"
us,Wisconsin,La Crosse,43.8241,-91.2268,"608"
us,West Virginia,Morgantown,39.6383,-79.9464,"304,681"
us,Texas,Wichita Falls,33.9072,-98.5291,"940"
us,Arizona,San Tan Valley,33.1786,-111.5629,"480"
us,Massachusetts,Brockton,42.0821,-71.0242,"508, 774"
us,Mississippi,Jackson,35.6538,-88.8354,"601, 769"
us,New Mexico,Santa Fe,35.6619,-105.9819,"505, 575"
us,Arizona,Goodyear,33.2614,-112.3622,"602, 480, 623"
us,Virginia,Charlottesville,38.0375,-78.4855,"434"
us,Missouri,Lee's Summit,38.9171,-94.3816,"816, 975"
us,Texas,Edinburg,26.3196,-98.1597,"956"
us,Kentucky,Bowling Green,36.9716,-86.4378,"270, 364"
us,Colorado,Longmont,40.1686,-105.1005,"303, 720, 983"
us,Massachusetts,Quincy,42.2506,-71.0187,"617, 857"
us,Indiana,Fishers,39.9588,-85.9659,"317"
us,North Dakota,Bismarck,46.8143,-100.7694,"701"
us,Kentucky,Elizabethtown,37.7031,-85.8773,"270,364"
us,Georgia,Brunswick,31.1449,-81.4746,"912,565"
us,Florida,St. Augustine,29.8976,-81.31,"904,324"
us,Washington,Federal Way,47.3091,-122.3358,"253"
us,Florida,Boca Raton,26.3752,-80.108,"561,728"
us,Texas,New Braunfels,29.6994,-98.1148,"830"
us,Maryland,Salisbury,38.3756,-75.5865,"443,667,410"
us,Virginia,Portsmouth,36.8468,-76.354,"757, 948"
us,Utah,Orem,40.2981,-111.6994,"801,385"
us,Arizona,Prescott Valley,34.598,-112.3185,"928"
us,Texas,Conroe,30.3238,-95.4824,"936"
us,Arkansas,Jonesboro,35.8212,-90.6791,"870,327"
us,Virginia,Suffolk,36.6953,-76.6398,"757,948"
us,Kansas,Lawrence,38.9597,-95.2642,"785"
us,Montana,Missoula,46.8751,-114.0214,"406"
us,Ohio,Middletown,39.5033,-84.3659,"513,283"
us,Oklahoma,Edmond,35.6689,-97.416,"405,572"
us,Tennessee,Kingsport,36.5224,-82.5454,"423"
us,Virginia,Portsmouth,43.058,-70.7826,"757, 948"
us,Louisiana,Slidell,30.2887,-89.7828,"985"
us,Iowa,Council Bluffs,41.2369,-95.8516,"712"
us,Oklahoma,Lawton,34.6175,-98.4202,"580"
us,Michigan,Livonia,42.3972,-83.3733,"248, 313, 734"
